lat,lon,pickups,dropoffs,tip,avg_review,avg_ratings
40.75,-73.991,304.364383562,204.731506849,282.083261986,113.0,3.25
40.748,-73.992,256.882191781,284.438356164,242.216673801,73.4,3.8
40.74,-74.006,228.920547945,524.210958904,247.065774829,686.0,3.28571428571
40.756,-73.991,219.02739726,233.515068493,197.942744007,641.0,4.0
40.742,-74.005,216.106849315,339.82739726,231.876626712,89.0,3.0
40.75,-73.995,202.794520548,429.090410959,187.310894692,9.5,4.5
40.744,-73.979,201.82739726,207.246575342,264.919285103,366.25,3.25
40.726,-73.992,178.767123288,454.145205479,235.545697774,253.0,3.5
40.748,-73.993,177.482191781,193.460273973,175.548779966,115.0,3.16666666667
40.748,-73.989,171.18630137,285.093150685,172.706142979,144.0,3.75
